Thu Dec 15 2022 10:22:02 GMT+0700 (Novosibirsk Standard Time) GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 10:22:49 GMT+0700 (Novosibirsk Standard Time) GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 10:23:03 GMT+0700 (Novosibirsk Standard Time) GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:14:25 GMT+0700 (Novosibirsk Standard Time) GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:15:20 GMT+0700 (Novosibirsk Standard Time) GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:15:46 GMT+0700 (Novosibirsk Standard Time) GET /alt=%22%22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:15:52 GMT+0700 (Novosibirsk Standard Time) GET /target=%22_blank%22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:17:12 GMT+0700 (Novosibirsk Standard Time) GET /youtu.be/grMPi9PTCaA Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:22:26 GMT+0700 (Novosibirsk Standard Time) GET /youtu.be/grMPi9PTCaA Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:23:59 GMT+0700 (Novosibirsk Standard Time) GET /alt=%22%22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:25:16 GMT+0700 (Novosibirsk Standard Time) GET /youtu.be/grMPi9PTCaA Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:25:22 GMT+0700 (Novosibirsk Standard Time) GET /alt=%22%22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:27:56 GMT+0700 (Novosibirsk Standard Time) GET /alt=%22%22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:28:44 GMT+0700 (Novosibirsk Standard Time) GET /alt=%22%22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Thu Dec 15 2022 11:30:11 GMT+0700 (Novosibirsk Standard Time) GET /alt=%22%22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
